Accident ID ,Type,Date,Speed,P Minor Injuries,P Serious Injuries,P Death Injuries,P Moderate Injuries,Road Lane,Road Surface, Vehicle Nationality,Class of License,Road Type,Lighting,Weather,Road Characteristics,Driver Fault,Governorate,Vehicle Category,Date of Accident,Number of Vehicles,Age of Driver, Gender
2004714,صدم,9/4/2019 2:04,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,اتخاذ السائق لمسرب خاطئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,9/4/2019 2:04,2,31,ذكر
2004788,صدم,9/4/2019 9:52,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,9/4/2019 9:52,2,29,انثى
2004788,صدم,9/4/2019 9:52,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,نقل مشترك,9/4/2019 9:52,2,35,ذكر
2005286,صدم,10/4/2019 11:21,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,مخالفات قواعد واولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,10/4/2019 11:21,2,81,ذكر
2005286,صدم,10/4/2019 11:21,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة سادسة (أ+ب),إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,10/4/2019 11:21,2,73,ذكر
2005559,صدم,10/4/2019 19:52,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,نقل مشترك,10/4/2019 19:52,2,66,ذكر
2005559,صدم,10/4/2019 19:52,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,10/4/2019 19:52,2,23,ذكر
2007544,صدم,4/15/2019 10:38,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة خامسة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 10:38,2,34,ذكر
2007544,صدم,4/15/2019 10:38,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة خامسة,إسفلتي,نهار,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,ركوب متوسطة,4/15/2019 10:38,2,25,ذكر
2007641,صدم,4/15/2019 14:10,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 14:10,2,55,ذكر
2007641,صدم,4/15/2019 14:10,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,مخالفات قواعد واولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 14:10,2,24,ذكر
2007643,صدم,4/15/2019 14:13,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,تغير سائق المركبة المسرب بشكل مفاجئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 14:13,2,40,ذكر
2007643,صدم,4/15/2019 14:13,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 14:13,2,24,ذكر
2007792,صدم,4/15/2019 19:58,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 19:58,2,51,ذكر
2007792,صدم,4/15/2019 19:58,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/15/2019 19:58,2,38,ذكر
2009447,صدم,4/19/2019 16:12,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/19/2019 16:12,2,27,ذكر
2009447,صدم,4/19/2019 16:12,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,مخالفات قواعد واولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/19/2019 16:12,2,,
2009515,صدم,4/19/2019 18:56,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة خامسة,إسفلتي,نهار,صافي,مستقيم مستوي,مخالفات قواعد واولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/19/2019 18:56,2,39,ذكر
2009515,صدم,4/19/2019 18:56,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة سادسة (أ+ب),إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/19/2019 18:56,2,48,ذكر
2009603,صدم,4/19/2019 22:37,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,شحن,4/19/2019 22:37,2,,
2009603,صدم,4/19/2019 22:37,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/19/2019 22:37,2,29,ذكر
